Year,Geo Level,State,County,Data Item,Value
2006,COUNTY,MINNESOTA,LYON,"CORN, SILAGE - ACRES HARVESTED","3,600"
2006,COUNTY,MINNESOTA,MURRAY,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","29,353,500"
2006,COUNTY,MINNESOTA,MURRAY,"CORN, SILAGE - ACRES HARVESTED","4,900"
2006,COUNTY,MINNESOTA,NOBLES,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","31,406,000"
2006,COUNTY,MINNESOTA,NOBLES,"CORN, SILAGE - ACRES HARVESTED","9,600"
2006,COUNTY,MINNESOTA,PIPESTONE,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","14,752,700"
2006,COUNTY,MINNESOTA,PIPESTONE,"CORN, SILAGE - ACRES HARVESTED","8,200"
2006,COUNTY,MINNESOTA,REDWOOD,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","41,294,100"
2006,COUNTY,MINNESOTA,REDWOOD,"CORN, SILAGE - ACRES HARVESTED","2,800"
2006,COUNTY,MINNESOTA,ROCK,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","22,011,600"
2006,COUNTY,MINNESOTA,ROCK,"CORN, SILAGE - ACRES HARVESTED","5,500"
2005,COUNTY,MINNESOTA,COTTONWOOD,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","31,648,000"
2005,COUNTY,MINNESOTA,COTTONWOOD,"CORN, SILAGE - ACRES HARVESTED","5,600"
2005,COUNTY,MINNESOTA,JACKSON,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","33,628,800"
2005,COUNTY,MINNESOTA,JACKSON,"CORN, SILAGE - ACRES HARVESTED","2,800"
2005,COUNTY,MINNESOTA,LINCOLN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","17,019,200"
2005,COUNTY,MINNESOTA,LINCOLN,"CORN, SILAGE - ACRES HARVESTED","4,100"
2005,COUNTY,MINNESOTA,LYON,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","31,950,000"
2005,COUNTY,MINNESOTA,LYON,"CORN, SILAGE - ACRES HARVESTED","3,300"
2005,COUNTY,MINNESOTA,MURRAY,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","31,922,800"
2005,COUNTY,MINNESOTA,MURRAY,"CORN, SILAGE - ACRES HARVESTED","7,400"
2005,COUNTY,MINNESOTA,NOBLES,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","36,203,200"
2005,COUNTY,MINNESOTA,NOBLES,"CORN, SILAGE - ACRES HARVESTED","5,300"
2005,COUNTY,MINNESOTA,PIPESTONE,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","17,212,800"
2005,COUNTY,MINNESOTA,PIPESTONE,"CORN, SILAGE - ACRES HARVESTED","5,100"
